,comments,likes,username,date,channel
94,What’s that album on the top left shelf? Has Anthony reviewed it?,,Jack Cahill,18 hours ago,https://www.youtube.com/channel/UCf-gh4loMKJsIeUaTzlzO2Q
95,Melon do a vid on Reveil’s ‘Learn 2 Swim’,,Blake Dworkin,19 hours ago,https://www.youtube.com/channel/UC6-hUbWu7FLeYiZVxFgasRA
96,You're better than a triple-scoop ice cream cone. With sprinkles.,,Ziya C,13 hours ago,https://www.youtube.com/channel/UCJBmSFpOAja7OLC7X1aeXzA
97,"anthony lets make a deal, I give you views, you review the new Bloc Party. Amazing, right?",,JDG,18 hours ago,https://www.youtube.com/channel/UCl1WOaBg0m-_WP95nRIJbTQ
98,As someone who only listens to rap this album hit a spot for me and im now a fan. SRO just slaps,,Ziya C,13 hours ago,https://www.youtube.com/channel/UCJBmSFpOAja7OLC7X1aeXzA
99,You would've given it a 10 if the cover was made of a more durable material,,Ziya C,13 hours ago,https://www.youtube.com/channel/UCJBmSFpOAja7OLC7X1aeXzA
100,We need Godspeed You! Black Emperor worst to best,,Davis Baumberger,19 hours ago,https://www.youtube.com/channel/UCt3aOf4IMRmjZu2e_edUx1g
101,The Moon Is A Dead World is one of the best albums of all time.,,Ziya C,13 hours ago,https://www.youtube.com/channel/UCJBmSFpOAja7OLC7X1aeXzA
102,"Doña review about sosmula’s album, 2HIGH2DIE",,SCUMBAG GRAND,12 hours ago,https://www.youtube.com/channel/UCUk4WkEi9AvdhcnjDjHRJtw
103,You’re not a loser for preaching the Gospel! Here at our youth group we’d love to talk about the Bible with you,,-NENCY- Go To My ChanneI! L!VE NOW,6 hours ago,https://www.youtube.com/channel/UCM46ae0ujctQfYE9GCnyOdg
104,Smart of them for keeping up with the times by naming this album after Amber Heard.,4,Mistamema,19 hours ago,https://www.youtube.com/channel/UCoMpcLR6B25BavdAL4KQTCg
105,Fantano looks just like Sheev from the Dukes of Hazzard,,Jake Sharpes,14 hours ago,https://www.youtube.com/channel/UCL-dCZ3Gosb8YJVYuOr5BrQ
106,Calling christians Losers isn’t a review melon,1,Glocktavious,19 hours ago,https://www.youtube.com/channel/UCZFMLVTWSzaqXepd91jpGEQ
107,"babe wake up!

no reason why, just wake up. you've been sleeping all day ... it's not healthy. are you okay?",,Molten_,19 hours ago,https://www.youtube.com/channel/UCE2lbnhSYRKY6ALMv6Z2Kww
108,thank you for reminding!!,1,Hauke Gering,18 hours ago,https://www.youtube.com/channel/UCCTXjw8TBdhBd4IC2gF9LHg
109,Nice to see TPAB on the background,,NickThePringle,15 hours ago,https://www.youtube.com/channel/UC22XFsGtRW-YuwyzgoF53ZA
110,YES PLEASE!,,That one edgy black dude,18 hours ago,https://www.youtube.com/channel/UC4m2oZcj2uDTQe5qkJiCNyw
111,ANOTHER 8 OH MY GOD AT THIS POINT 9 IS THE NEW 10,,Joor,19 hours ago,https://www.youtube.com/channel/UC6HpNcfEzHe5I6rHKSoqXqw
112,Who else clicked on this for the yellow flannel?,,Jacob Luttrull,19 hours ago,https://www.youtube.com/channel/UC3H-VRj6gWHkA9CSNv2gzvQ
113,Good comeback,,Dibil Idiot,19 hours ago,https://www.youtube.com/channel/UCcjFSmlCYr3yNGHQ0q2eufQ
114,so true so based anthony.!!!,,Kewii,19 hours ago,https://www.youtube.com/channel/UCwiEcFGEflx4NHPSOejTp-A
115,Good stuff Melon Loser,,NotRealMusic,19 hours ago,https://www.youtube.com/channel/UCcjnYXgfSViUojEAKA1UpvQ
116,Will you review post malones new album?,1,Tiger Paint,17 hours ago,https://www.youtube.com/channel/UCldsMv5Q-mq_Ok6WjEKSxhg
117,Are you gonna review post malone new album?,1,Kyler Mak,16 hours ago,https://www.youtube.com/channel/UCNeq9hD9aQTrX1HXKgWTzsQ
